File_Name,KeyPhrases,KeyPhrases_with_Score,Expected_Topic_Name
FINAL DOC RM-1.txt,"['Garment', 'Industry', 'World', 'Export Markets', 'Environment', 'Production', 'Markets', 'Impact', 'Global Concerns', 'Natural', 'Sustainable', 'India', 'Fact', 'Europe', 'Australia']","[('garment', 0.05267172231892229), ('industry', 0.04792724241418999), ('world', 0.0287088191803093), ('export markets', 0.028294968793153515), ('environment', 0.026295552738381175), ('production', 0.02315287292121834), ('markets', 0.02195268168991501), ('impact', 0.02136623305483195), ('global concerns', 0.020589773071981052), ('natural', 0.01907498476267751), ('sustainable', 0.01855033993888513), ('india', 0.017099118378837763), ('fact', 0.015498252736182955), ('europe', 0.01539631631195289), ('australia', 0.01536332414939905)]",Industry
FINAL DOC RM.txt,"['Sustainable', 'Industry', 'Certifications', 'Garment', 'Production', 'Green Buildings', 'Green', 'Green Production Practices', 'Energy Usage Industries', 'Manufacturing', 'Large Scale Garment Manufacturing Industry', 'Companies', 'Scale', 'Operations', 'Term']","[('sustainable', 0.02904468794084904), ('industry', 0.020671398251866122), ('certifications', 0.02022605756764198), ('garment', 0.01906716942774568), ('production', 0.018308417190804362), ('green buildings', 0.01685860035357019), ('green', 0.013760127740374105), ('green production practices', 0.013663032834998284), ('energy usage industries', 0.012863863977074855), ('manufacturing', 0.011280620528429973), ('large scale garment manufacturing industry', 0.010958001328355916), ('companies', 0.010771542400250314), ('scale', 0.00929202811516402), ('operations', 0.008710401814709157), ('term', 0.007557184770331774)]",Industry
